id	population	species	state	country	sex	longitude	latitude	read_1	read_2
W6-54757-102	W6-54757	Distichlis_spicata	VA	US	unknown	-75.83363	37.46934	20240401/L7/W6-54757-102_d7372bf6-087d-4a4b-b353-e77507d35a46_S88_L007_R1_001.fastq.gz	20240401/L7/W6-54757-102_d7372bf6-087d-4a4b-b353-e77507d35a46_S88_L007_R2_001.fastq.gz
W6-54757-103	W6-54757	Distichlis_spicata	VA	US	unknown	-75.83363	37.46934	20240401/L7/W6-54757-103_afae0639-9d2c-41df-bb09-ee91dd0bf290_S89_L007_R1_001.fastq.gz	20240401/L7/W6-54757-103_afae0639-9d2c-41df-bb09-ee91dd0bf290_S89_L007_R2_001.fastq.gz
W6-54757-104	W6-54757	Distichlis_spicata	VA	US	unknown	-75.83363	37.46934	20240401/L7/W6-54757-104_4a4dc18f-325b-4689-b04c-f8e6db1f91eb_S87_L007_R1_001.fastq.gz	20240401/L7/W6-54757-104_4a4dc18f-325b-4689-b04c-f8e6db1f91eb_S87_L007_R2_001.fastq.gz
W6-54757-106	W6-54757	Distichlis_spicata	VA	US	unknown	-75.83363	37.46934	20240401/L7/W6-54757-106_7e0cbbe3-237f-462b-b564-2ef36a64b27a_S90_L007_R1_001.fastq.gz	20240401/L7/W6-54757-106_7e0cbbe3-237f-462b-b564-2ef36a64b27a_S90_L007_R2_001.fastq.gz
W6-54758-101	W6-54758	Distichlis_spicata	MD	US	unknown	-76.32677	38.051	20240401/L7/W6-54758-101_59f8d85b-f36d-4a0b-8066-2d44a57dd699_S54_L007_R1_001.fastq.gz	20240401/L7/W6-54758-101_59f8d85b-f36d-4a0b-8066-2d44a57dd699_S54_L007_R2_001.fastq.gz
W6-54758-102	W6-54758	Distichlis_spicata	MD	US	unknown	-76.32677	38.051	20240401/L7/W6-54758-102_5428fd7e-3a8d-44bd-8704-c0de21d39852_S43_L007_R1_001.fastq.gz	20240401/L7/W6-54758-102_5428fd7e-3a8d-44bd-8704-c0de21d39852_S43_L007_R2_001.fastq.gz
W6-54758-103	W6-54758	Distichlis_spicata	MD	US	unknown	-76.32677	38.051	20240401/L7/W6-54758-103_bad33b58-a8c2-465e-9ec6-d43a6abf0b30_S57_L007_R1_001.fastq.gz	20240401/L7/W6-54758-103_bad33b58-a8c2-465e-9ec6-d43a6abf0b30_S57_L007_R2_001.fastq.gz
W6-54758-104	W6-54758	Distichlis_spicata	MD	US	unknown	-76.32677	38.051	20240401/L7/W6-54758-104_98465f51-94f0-4a80-9c20-862488edd18a_S46_L007_R1_001.fastq.gz	20240401/L7/W6-54758-104_98465f51-94f0-4a80-9c20-862488edd18a_S46_L007_R2_001.fastq.gz
W6-54758-105	W6-54758	Distichlis_spicata	MD	US	unknown	-76.32677	38.051	20240401/L7/W6-54758-105_bb820f39-8aac-4e8c-a948-1bd654e6cf81_S49_L007_R1_001.fastq.gz	20240401/L7/W6-54758-105_bb820f39-8aac-4e8c-a948-1bd654e6cf81_S49_L007_R2_001.fastq.gz
W6-54758-106	W6-54758	Distichlis_spicata	MD	US	unknown	-76.32677	38.051	20240401/L7/W6-54758-106_2f80d1e3-6eff-41de-8a87-ec913c3a9dfd_S59_L007_R1_001.fastq.gz	20240401/L7/W6-54758-106_2f80d1e3-6eff-41de-8a87-ec913c3a9dfd_S59_L007_R2_001.fastq.gz
W6-54758-107	W6-54758	Distichlis_spicata	MD	US	unknown	-76.32677	38.051	20240401/L7/W6-54758-107_f7bb288f-a182-4cd5-afcd-09163bf9e5f7_S50_L007_R1_001.fastq.gz	20240401/L7/W6-54758-107_f7bb288f-a182-4cd5-afcd-09163bf9e5f7_S50_L007_R2_001.fastq.gz
W6-54758-108	W6-54758	Distichlis_spicata	MD	US	unknown	-76.32677	38.051	20240401/L7/W6-54758-108_fa0261db-e386-4865-86ac-ae20dc8eba02_S53_L007_R1_001.fastq.gz	20240401/L7/W6-54758-108_fa0261db-e386-4865-86ac-ae20dc8eba02_S53_L007_R2_001.fastq.gz
W6-54758-109	W6-54758	Distichlis_spicata	MD	US	unknown	-76.32677	38.051	20240401/L7/W6-54758-109_d7172e09-42ed-4a74-b2a9-179fffc1fd89_S47_L007_R1_001.fastq.gz	20240401/L7/W6-54758-109_d7172e09-42ed-4a74-b2a9-179fffc1fd89_S47_L007_R2_001.fastq.gz
W6-54758-110	W6-54758	Distichlis_spicata	MD	US	unknown	-76.32677	38.051	20240401/L7/W6-54758-110_7fe792ff-356c-443a-9c55-99c359a8aca0_S55_L007_R1_001.fastq.gz	20240401/L7/W6-54758-110_7fe792ff-356c-443a-9c55-99c359a8aca0_S55_L007_R2_001.fastq.gz
W6-54758-111	W6-54758	Distichlis_spicata	MD	US	unknown	-76.32677	38.051	20240401/L7/W6-54758-111_4b2efe61-e852-4dec-bf12-de664c234bae_S61_L007_R1_001.fastq.gz	20240401/L7/W6-54758-111_4b2efe61-e852-4dec-bf12-de664c234bae_S61_L007_R2_001.fastq.gz
