id	population	species	state	country	sex	longitude	latitude
choya-22-007	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-008	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-009	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-010	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-011	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-012	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-013	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-014	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-015	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-016	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-017	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-018	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-019	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-020	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-021	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-022	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-023	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-024	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-025	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-026	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-027	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-028	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-029	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-030	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-031	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-032	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-033	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-034	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-035	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-036	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-037	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-038	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-039	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-040	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-041	choya	Distichlis_palmeri	SON	MX	female	-113.6102033	31.3389783
choya-22-042	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-043	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-044	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-045	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-046	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-047	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-048	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
